experiment,model,nfe,solver,skip_type,num_samples,fid,ctx_frac,warmth
2025-12-28_22-39_witty_bear,latest_ema,2,midpoint,time_uniform,10,44.5625,,1.0
2025-12-28_22-39_witty_bear,latest_ema,2,dpm_solver_3,time_uniform,10,48.9375,,1.0
2025-12-28_22-39_witty_bear,latest_ema,4,midpoint,time_uniform,10,39.5625,,1.0
2025-12-28_22-39_witty_bear,latest_ema,4,dpm_solver_3,time_uniform,10,42.9375,,1.0
2025-12-28_22-39_witty_bear,latest_ema,6,midpoint,time_uniform,10,36.03125,,1.0
2025-12-28_22-39_witty_bear,latest_ema,6,dpm_solver_3,logSNR,10,37.9375,,1.0
2025-12-28_22-39_witty_bear,latest_ema,8,midpoint,time_uniform,10,35.28125,,1.0
2025-12-28_22-39_witty_bear,latest_ema,8,dpm_solver_3,logSNR,10,38.5,,1.0
2025-12-28_22-39_witty_bear,latest_ema,12,midpoint,time_uniform,10,34.65625,,1.0
2025-12-28_22-39_witty_bear,latest_ema,2,midpoint,time_uniform,50000,5.51953125,,1.0
2025-12-28_22-39_witty_bear,latest_ema,2,dpm_solver_3,time_uniform,50000,9.890625,,1.0
2025-12-28_22-39_witty_bear,latest_ema,4,midpoint,time_uniform,50000,2.4296875,,1.0
2025-12-28_22-39_witty_bear,latest_ema,4,dpm_solver_3,time_uniform,50000,3.951171875,,1.0
2025-12-28_22-39_witty_bear,latest_ema,6,midpoint,time_uniform,50000,1.8408203125,,1.0
2025-12-28_22-39_witty_bear,latest_ema,6,dpm_solver_3,logSNR,50000,4.30078125,,1.0
2025-12-28_22-39_witty_bear,latest_ema,8,midpoint,time_uniform,50000,1.703125,,1.0
2025-12-28_22-39_witty_bear,latest_ema,8,dpm_solver_3,logSNR,50000,3.560546875,,1.0
2025-12-28_22-39_witty_bear,latest_ema,12,midpoint,time_uniform,50000,1.62890625,,1.0
2025-12-28_22-39_witty_bear,latest_ema,10,midpoint,time_uniform,50000,1.63671875,,1.0
2025-12-28_22-39_witty_bear,latest_ema,10,dpm_solver_3,logSNR,50000,2.00390625,,1.0
2025-12-28_22-39_witty_bear,latest_ema,12,dpm_solver_3,logSNR,50000,1.646484375,,1.0
2025-12-28_22-39_witty_bear,latest_ema,20,dpm_solver_3,logSNR,50000,1.6650390625,,1.0
2025-12-28_22-39_witty_bear,latest_ema,50,dpm_solver_3,logSNR,50000,1.6220703125,,1.0
2025-12-28_22-39_witty_bear,latest_ema,50,midpoint,time_uniform,50000,1.615234375,,1.0
2025-12-28_22-39_witty_bear,latest_ema,20,midpoint,time_uniform,50000,1.5986328125,,1.0
2025-12-28_22-39_witty_bear,latest_ema,50,dpm_solver_3,logSNR,50000,1.6220703125,,1.0
